PRIVATE_CHAT_ONLY,Laporan hanya bisa dikirim melalui chat pribadi dengan bot ya.
START,"{{progress}}\n\nHalo 👋\n\nSaya akan bantu input laporan toko harian.\n\nTekan tombol <b>Bagikan Lokasi</b> supaya saya bisa cari toko terdekat.\nKalau tidak bisa bagikan lokasi, tekan <b>{{manual_store_button}}</b> untuk pilih toko secara manual."
ASK_LOCATION,"{{progress}}\n\nSilakan tekan tombol <b>Bagikan Lokasi</b> supaya saya bisa bantu cari toko terdekat.\n\nKalau tidak bisa bagikan lokasi, tekan <b>{{manual_store_button}}</b> untuk pilih toko secara manual."
LOCATION_NOT_FOUND,{{progress}}\n\nSaya belum bisa memastikan toko dari lokasi ini.\n\nSilakan pilih toko yang mau dilaporkan:
STORE_CONFIRMATION,{{progress}}\n\nSaya menemukan toko terdekat:\n\n<b>{{store_label}}</b>\n\nJarak kamu sekitar <b>{{distance_meter}}</b> dari toko.\n\nApakah benar ini toko yang mau dilaporkan?
MULTIPLE_STORES_FOUND,{{progress}}\n\nKamu sepertinya berada di area:\n\n<b>{{area_label}}</b>\n\nPilih toko yang mau dilaporkan:
MANUAL_STORE_SELECTION,{{progress}}\n\nSilakan pilih toko yang mau dilaporkan:
ACTIVATION_ASK_CONTACT,"Halo 👋\n\nUntuk mengaktifkan akun Telegram kamu, tekan tombol <b>{{share_contact_button}}</b> untuk bagikan nomor HP terdaftar kamu."
ACTIVATION_SUCCESS,"✅ Akun kamu berhasil diaktifkan. Selamat datang, {{user_name}}!"
ACTIVATION_FAILED,Nomor HP kamu belum bisa diaktifkan. Silakan hubungi admin untuk bantuan.
ACTIVATION_NOT_OWN_CONTACT,Tolong bagikan nomor HP kamu sendiri lewat tombol di bawah ya.
MENU_ADMIN,"Menu Admin\n\nSilakan pilih menu:"
MENU_SUPER_ADMIN,"Menu Super Admin\n\nSilakan pilih menu:"
MENU_PLACEHOLDER,🚧 Fitur ini akan segera tersedia.
MENU_ACCESS_DENIED,Kamu tidak punya akses untuk tindakan ini.
REPORT_ALREADY_EXISTS,{{progress}}\n\nLaporan untuk toko dan tanggal ini sudah ada.\n\nMau submit lagi sebagai koreksi?
ASK_SALES_SOURCES,"{{progress}}\n\nPilih sumber penjualan hari ini.\n\n{{selected_sources}}\n\nPilih satu atau lebih sumber untuk lanjut input.\nKalau tidak ada penjualan, tekan <b>Tidak Ada Penjualan</b>."
ASK_SALES_TRAFFIC,"{{progress}}\n{{source_progress}}\n\nBerapa jumlah traffic / pengunjung untuk <b>{{source}}</b> hari ini?\n\nKetik angka saja."
ASK_SALES_GMV,"{{progress}}\n{{source_progress}}\n\nBerapa GMV dari <b>{{source}}</b> hari ini?\n\nKetik angka saja."
ASK_SALES_ORDER,"{{progress}}\n{{source_progress}}\n\nBerapa total order / transaksi dari <b>{{source}}</b> hari ini?\n\nKetik angka saja."
ASK_SALES_PIECES,"{{progress}}\n{{source_progress}}\n\nBerapa total pieces / item terjual dari <b>{{source}}</b> hari ini?\n\nKetik angka saja."
ASK_STOCK_ISSUE,"{{progress}}\n\nApakah ada kendala stok hari ini?\n\n{{selected_issues}}\n\nPilih satu atau lebih kendala untuk lanjut input.\nKalau tidak ada kendala, tekan <b>Tidak Ada</b>."
ASK_NOTE,"{{progress}}\n\nCatatan tambahan?\n\nKetik catatan, atau tekan <b>Tidak Ada</b>."
SALES_SUMMARY,"{{progress}}\n\nRingkasan penjualan:\n\n{{sales_breakdown}}\n\nTotal GMV: {{total_gmv}}\nTotal Order: {{total_order}}\nTotal Pieces: {{total_pieces}}\n\nLanjutkan, ubah, atau batalkan laporan?"
